location;didok;geschaeft;kategorie;ebene;bahnhof;offen;url;email;tel;beschreibung;payment_accepted;geo
https://lod.opentransportdata.swiss/place/8503000/geo-k-kiosk-fcb4;http://lod.opentransportdata.swiss/didok/8503000;K Kiosk;Kioske / Tabakwaren;Untergeschoss;Zürich HB;Mo-Fr 05:30-22:30;http://www.kkiosk.ch/;info@kkiosk.ch;+41 43 317 11 51;"Gönn dir was!
k kiosk ist der persönliche Garant für Sofortgenuss in greifbarer Nähe, welcher die kleinen Alltagssünden schnell und unkompliziert mit attraktiven Alltagsfreuden erlebbar macht.";American Express, Euro, Maestro, MasterCard, PostFinance, Visa;POINT(8.538834469458108 47.3777200420738)
https://lod.opentransportdata.swiss/place/8503000/geo-k-kiosk-fcb4;http://lod.opentransportdata.swiss/didok/8503000;K Kiosk;Kioske / Tabakwaren;Untergeschoss;Zürich HB;Sa-So 07:00-22:30;http://www.kkiosk.ch/;info@kkiosk.ch;+41 43 317 11 51;"Gönn dir was!
k kiosk ist der persönliche Garant für Sofortgenuss in greifbarer Nähe, welcher die kleinen Alltagssünden schnell und unkompliziert mit attraktiven Alltagsfreuden erlebbar macht.";American Express, Euro, Maestro, MasterCard, PostFinance, Visa;POINT(8.538834469458108 47.3777200420738)
https://lod.opentransportdata.swiss/place/8503000/geo-atrio-pizzeria-and-bar-71f1;http://lod.opentransportdata.swiss/didok/8503000;Atrio Pizzeria & Bar;Restaurants / Take-Away;Erdgeschoss;Zürich HB;Mo-So 06:30-00:00;http://www.pizzeria-atrio.ch;info@candriancatering.ch;+41 44 217 15 15;Am Morgen Frühstücksbuffet und ab Mittag frische Salate, hausgemachte Pizza, Pasta und leckere Desserts. Die Pizzeria Atrio mit Bar und Terrasse bietet jedem den passenden Platz. Für alle, die es eilig haben, steht das Angebot zum Take Away zur Verfügung.;;POINT(8.539812663552654 47.377764109296706)
https://lod.opentransportdata.swiss/place/8503000/geo-zuercher-kantonalbank-acf9;http://lod.opentransportdata.swiss/didok/8503000;Zürcher Kantonalbank Automatenbank;Automaten;Untergeschoss;Zürich HB;Mo-Fr 04:30-00:30;https://zkb.ch/;;;Wir bauen für Sie um. In der Zwischenzeit stehen Ihnen unsere Bancomaten im Plaza und in der Halle Landesmuseum zur Verfügung.;;POINT(8.540432116867905 47.37771556659625)
https://lod.opentransportdata.swiss/place/8503000/geo-press-and-books-b1a2;http://lod.opentransportdata.swiss/didok/8503000;Press & Books;Bücher / Papeterie / Bilder;Untergeschoss;Zürich HB;Mo-Do 06:00-00:30;http://www.pressbooks.ch/;info@pressbooks.ch;+41 44 212 29 84;Süssigkeiten, Getränke, Tabak, Lotto und das umfangreichste Angebot an Zeitungen und Zeitschriften. Für Reisende, Wartende und Frühaufsteher.;American Express, Euro, Maestro, MasterCard, PostFinance, Visa;POINT(8.53951848821041 47.37861708480265)
https://lod.opentransportdata.swiss/place/8503000/geo-press-and-books-b1a2;http://lod.opentransportdata.swiss/didok/8503000;Press & Books;Kioske / Tabakwaren;Untergeschoss;Zürich HB;Fr 06:00-00:45;http://www.pressbooks.ch/;info@pressbooks.ch;+41 44 212 29 84;Süssigkeiten, Getränke, Tabak, Lotto und das umfangreichste Angebot an Zeitungen und Zeitschriften. Für Reisende, Wartende und Frühaufsteher.;American Express, Euro, Maestro, MasterCard, PostFinance, Visa;POINT(8.53951848821041 47.37861708480265)
https://lod.opentransportdata.swiss/place/8503000/geo-zopf-and-zoepfli-883f;http://lod.opentransportdata.swiss/didok/8503000;Zopf & Zöpfli;Restaurants / Take-Away;Untergeschoss;Zürich HB;Mo-Fr 06:00-22:00;http://www.zopfundzoepfli.ch;zuerichhb-zz@marche-restaurants.ch;+41 44 213 28 60;Ein Zöpfli am Morgen vertreibt Kummer und Sorgen. Bei uns finden Sie zur jeder Tageszeit das Passende. Zum Beispiel zum Frühstück Schoggi-Zöpfli oder Birchermüesli, zum Mittag ein Thon- Silserzopf-Sandwich mit Salat und am Abend ein Stück heissen Fleischkäse im warmen Butterzopf. Natürlich gibt’s bei uns auch den Zopf für den Sonntags-Brunch zu kaufen.;American Express, Euro, Lunch-Checks, Maestro, MasterCard, PostFinance, Twint, Visa;POINT(8.538434758714864 47.37889677309955)
https://lod.opentransportdata.swiss/place/8503000/geo-il-baretto-73f8;http://lod.opentransportdata.swiss/didok/8503000;Il Baretto;Restaurants / Take-Away;Erdgeschoss;Zürich HB;Fr-Sa 00:00-00:00;http://ilbaretto.ch;info@candriancatering.ch;+41 44 217 15 15;"Feine italienische Spezialitäten und hausgeröstete Kaffeegetränke erwarten Sie im il baretto.
Geniessen Sie ein Panini oder Cornetto vor Ort oder nehmen Sie Ihren Liebling mit auf den Weg.";;POINT(8.539733531355992 47.37847698206851)
https://lod.opentransportdata.swiss/place/8503000/geo-guerini-schuhe-c258;http://lod.opentransportdata.swiss/didok/8503000;Guerini Schuhe;Schuhe / Reiseartikel / Lederwaren;Shopville/Aufgänge;Zürich HB;Mo-Fr 07:30-21:00;http://www.guerini.ch;info@guerini.ch;+41 44 211 23 55;Ob modern oder klassisch: Bei uns finden Sie den Damenschuh, der wirklich passt. Grosse Auswahl an Accessoires, Reparaturservice.;;POINT(8.540786180755912 47.37708646686338)
https://lod.opentransportdata.swiss/place/8503000/geo-k-kiosk-df0a;http://lod.opentransportdata.swiss/didok/8503000;K Kiosk;Kioske / Tabakwaren;Untergeschoss;Zürich HB;Sa 07:00-23:00;http://www.kkiosk.ch/;info@kkiosk.ch;+41 44 212 24 26;"Gönn dir was!
k kiosk ist der persönliche Garant für Sofortgenuss in greifbarer Nähe, welcher die kleinen Alltagssünden schnell und unkompliziert mit attraktiven Alltagsfreuden erlebbar macht.";American Express, Euro, Maestro, MasterCard, PostFinance, Visa;POINT(8.536923125536823 47.379679541205924)
https://lod.opentransportdata.swiss/place/8503000/geo-brezelkoenig-a6e7;http://lod.opentransportdata.swiss/didok/8503000;Brezelkönig;Restaurants / Take-Away;Shopville/Aufgänge;Zürich HB;Mo-So 05:00-21:00;http://www.brezelkoenig.ch/;info@brezelkoenig.ch;+41 41 289 64 64;Duftende, köstliche Brezel – ein Hochgenuss! Auch die Sandwiches, Hot Dogs und süssen Brezel machen Appetit.;American Express, Euro, Lunch-Checks, Maestro, MasterCard, PostFinance, SBB Geschenkkarte, Ticket Restaurant, Unionpay, V Pay, Visa;POINT(8.538090260250712 47.37775316075551)
https://lod.opentransportdata.swiss/place/8503000/geo-metzgerei-traiteur-kauffmann-23f3;http://lod.opentransportdata.swiss/didok/8503000;Metzgerei Traiteur Kauffmann;Lebensmittel / Getränke;Untergeschoss;Zürich HB;Sa-So 07:30-20:00;http://www.kauffmannag.ch/de/;hb@kauffmannag.ch;+41 44 212 47 13;Die Metzgerei Kauffmann ist optimal auf die Kundschaft im ShopVille-Zürich Hauptbahnhof ausgerichtet. Fleisch und Charcuterie mit hohem Conveniencegrad.;;POINT(8.54015635933071 47.3780541495672)
https://lod.opentransportdata.swiss/place/8503000/geo-pasta-barn-d801;http://lod.opentransportdata.swiss/didok/8503000;Pasta Barn;Restaurants / Take-Away;Untergeschoss;Zürich HB;Mo-So 11:30-21:30;http://www.pasta-barn.ch;;+41 44 508 09 03;Mit «Pasta Barn» und «Müesli Bar» steht der erste drehbare Imbisstand Europas im ShopVille-Zürich HB! Je nach Tageszeit wird die Auslage Richtung Kundenstrom gedreht und bietet morgens frische Müesli und Kaffee an, ab Mittag werden warme Pasta-Gerichte zubereitet. Öffnungszeiten Müesli Bar: Mo-Sa 06:00-21:00/ So 08:30 - 21:00;American Express, Euro, Maestro, MasterCard, Twint, Visa;POINT(8.536392696164144 47.37918232104547)
https://lod.opentransportdata.swiss/place/8503000/geo-press-and-books-5375;http://lod.opentransportdata.swiss/didok/8503000;Press & Books;Kioske / Tabakwaren;Erdgeschoss;Zürich HB;Mo-So 06:00-22:30;http://www.pressbooks.ch/;info@pressbooks.ch;+41 43 497 39 18;Architektur, Beauty oder Autos? Hier finden Sie bestimmt die auf Ihre Interessen ausgerichtete Lektüre für kurzweilige Zugfahrten.;;POINT(8.540024213369714 47.3776926312248)
https://lod.opentransportdata.swiss/place/8503000/geo-reiz-modeschmuck-d07a;http://lod.opentransportdata.swiss/didok/8503000;Reiz;Bekleidung;Shopville/Aufgänge;Zürich HB;Sa 09:00-20:00;http://www.reizschmuck.ch;;+41 43 344 84 24;Reiz – Ein grosses, modisches, immer aktuelles Sortiment von Schmuck, Taschen, Hüten und Accessoires. Ausgeflippt oder klassisch für Jung und Alt.;;POINT(8.540461236983086 47.37715606711407)
https://lod.opentransportdata.swiss/place/8503000/geo-box-c528;http://lod.opentransportdata.swiss/didok/8503000;Box;Geschenkartikel / Haus / Garten;Shopville/Aufgänge;Zürich HB;Sa-So 09:00-20:00;https://www.boxmas.ch;;+41 78 692 20 85;Suchst du das passende Geschenk für einen Geburtstag, Polterabend oder einfach mal etwas zwischen den Feiertagen? Dann bist du bei Box genau richtig!;;POINT(8.541160197985876 47.37711895945862)
https://lod.opentransportdata.swiss/place/8503000/geo-k-kiosk-bfd1;http://lod.opentransportdata.swiss/didok/8503000;K Kiosk;Kioske / Tabakwaren;Untergeschoss;Zürich HB;Do-Fr 05:30-22:30;http://www.kkiosk.ch/;info@kkiosk.ch;+41 44 210 35 16;"Gönn dir was!
k kiosk ist der persönliche Garant für Sofortgenuss in greifbarer Nähe, welcher die kleinen Alltagssünden schnell und unkompliziert mit attraktiven Alltagsfreuden erlebbar macht.";;POINT(8.536402382453716 47.378532089302766)
https://lod.opentransportdata.swiss/place/8503000/geo-scent-of-bamboo-d019;http://lod.opentransportdata.swiss/didok/8503000;Scent of Bamboo;Restaurants / Take-Away;Untergeschoss;Zürich HB;Mo-So 09:00-22:00;http://www.scentofbamboo.ch/;;+41 44 212 58 38;Geniessen Sie authentisch zubereitete asiatische Spezialitäten und lassen Sie sich von den kulinarischen Köstlichkeiten aus Asien überraschen.;;POINT(8.539583654476724 47.37833157316782)
https://lod.opentransportdata.swiss/place/8503000/geo-snack-bar-a312;http://lod.opentransportdata.swiss/didok/8503000;Snack Bar;Restaurants / Take-Away;Erdgeschoss;Zürich HB;Mo-Do 06:00-23:45;http://snackbar.candriancatering.ch;info@candriancatering.ch;+41 44 217 15 15;"Die Snack Bar beim Gleiskopf 18 zeichnet sich durch einen schnellen Service und ein unkompliziertes Angebot aus.
Neben den Kebab Spezialitäten, verschiedenen feinen Sandwiches oder Süssgebäcken zum Mitnehmen, können Sie ebenfalls unseren hausgerösteten Kaffee geniessen.";;POINT(8.539788164533428 47.37855741747842)
https://lod.opentransportdata.swiss/place/8503000/geo-sunrise-center-ac66;http://lod.opentransportdata.swiss/didok/8503000;Sunrise Center;Elektronik / Foto / Musik;Shopville/Aufgänge;Zürich HB;Mo-Fr 09:00-21:00;http://www.sunrise.ch/;;+41 800 707 707;In heller und modern gestalteter Atmosphäre bietet Ihnen Sunrise Telekommunikations-Lösungen aus den Bereichen Mobile, TV, Internet und Festnetz an.;;POINT(8.539381157757234 47.377400308261066)
https://lod.opentransportdata.swiss/place/8503000/geo-swiss-smile-ed6f;http://lod.opentransportdata.swiss/didok/8503000;Swiss Smile;Gesundheit / Körperpflege;Shopville/Aufgänge;Zürich HB;Sa 08:00-20:00;https://www.swiss-smile.com/;;+41 43 300 30 03;Das Zahnarztzentrum swiss smile bietet alle Leistungen moderner Zahnmedizin zusätzlich zur Nothilfe an 7 Tagen die Woche. Ohne Voranmeldung.;;POINT(8.538848808228328 47.3772992882784)
https://lod.opentransportdata.swiss/place/8503000/geo-baur-au-lac-vins-85fd;http://lod.opentransportdata.swiss/didok/8503000;Baur au Lac Vins;Lebensmittel / Getränke;Untergeschoss;Zürich HB;Sa-So 09:00-20:00;https://www.bauraulacvins.ch/;filiale.hb@balv.ch;+41 44 212 50 50;Möchten Sie einen Wein für einen besonderen Anlass oder einen für jeden Tag? Kommen Sie vorbei – wir beraten Sie gerne persönlich.;;POINT(8.540027093330423 47.378087716845755)
https://lod.opentransportdata.swiss/place/8503000/geo-au-premier-41cf;http://lod.opentransportdata.swiss/didok/8503000;Au Premier;Restaurants / Take-Away;Erdgeschoss;Zürich HB;Mo-Fr 18:00-23:30;http://www.restaurant-aupremier.ch;info@candriancatering.ch;+41 44 217 15 15;Ob Business Lunch oder gediegenes Abendessen – Für Gäste mit höchsten Ansprüchen ist dieses avantgardistische Gault Millau Restaurant mit seinem Ambiente, geprägt durch wechselnde zeitgenössische Kunst, die richtige Adresse.;;POINT(8.540271337992857 47.37745854564826)
https://lod.opentransportdata.swiss/place/8503000/geo-drinks-of-the-world-b93c;http://lod.opentransportdata.swiss/didok/8503000;Drinks of the World;Lebensmittel / Getränke;Shopville/Aufgänge;Zürich HB;Mo-So 09:00-22:00;http://www.beerworld.ch/;;+41 44 211 10 51;Bei Drinks of the World finden Sie neue, trendige Getränke aus aller Welt. Dazu zählen über 555 verschiedene Biere, internationale Weine, am Trend orientierte Spirituosen und unzählige Energy- und Softgetränke.;Euro, Geschenkkarte Bahnhof, Maestro, MasterCard, PostFinance, Visa;POINT(8.537795850671257 47.377767109413675)
https://lod.opentransportdata.swiss/place/8503000/geo-blume-3000-0b4e;http://lod.opentransportdata.swiss/didok/8503000;Blume 3000;Blumen;Untergeschoss;Zürich HB;So 08:00-20:00;http://www.blume3000.ch/;blumen@blume3000.ch;+41 44 212 20 45;Wir kreieren attraktive, trendige Floristik zum Schenken und zur Dekoration des persönlichen Wohnumfelds.;;POINT(8.539729172407618 47.37877410654088)
https://lod.opentransportdata.swiss/place/8503000/geo-rice-up-e338;http://lod.opentransportdata.swiss/didok/8503000;Rice Up!;Restaurants / Take-Away;Untergeschoss;Zürich HB;Mo-Fr 09:00-21:00;http://www.riceup.ch/;hauptbahnhof@riceup.ch;+41 44 575 83 36;Reis bildet die Basis, die Asian Fusion Zutaten wählt der Gast individuell – Streetfood-Style im Take Out und Take and Stay.;American Express, Euro, Geschenkkarte Bahnhof, Maestro, MasterCard, PostFinance, Visa;POINT(8.538760456395611 47.37811785569624)
https://lod.opentransportdata.swiss/place/8503000/geo-rice-up-e338;http://lod.opentransportdata.swiss/didok/8503000;Rice Up!;Restaurants / Take-Away;Untergeschoss;Zürich HB;Sa-So 09:00-20:00;http://www.riceup.ch/;hauptbahnhof@riceup.ch;+41 44 575 83 36;Reis bildet die Basis, die Asian Fusion Zutaten wählt der Gast individuell – Streetfood-Style im Take Out und Take and Stay.;American Express, Euro, Geschenkkarte Bahnhof, Maestro, MasterCard, PostFinance, Visa;POINT(8.538760456395611 47.37811785569624)
https://lod.opentransportdata.swiss/place/8503000/geo-terlinden-textilpflege-b408;http://lod.opentransportdata.swiss/didok/8503000;Terlinden Textilpflege;Dienstleistungen;Untergeschoss;Zürich HB;Mo-Fr 07:00-21:00;https://www.terlinden.ch/;info@terlinden.ch;+41 44 211 22 44;Ob Anzüge, Abendkleider, Hemden und Leder – Terlinden pflegt, was Sie lieben. Damit Sie noch lange Freude an Ihren Lieblingsstücken haben.;;POINT(8.536026896864133 47.37889072317331)
https://lod.opentransportdata.swiss/place/8503000/geo-billettschalter-238d;http://lod.opentransportdata.swiss/didok/8503000;Billette, Abonnemente, Freizeitangebote;SBB Services;Erdgeschoss;Zürich HB;Mo-So 06:00-21:00;;;;;;POINT(8.539768188331427 47.37834593443244)
https://lod.opentransportdata.swiss/place/8503000/geo-ubs-automatenbank-ea39;http://lod.opentransportdata.swiss/didok/8503000;UBS Automatenbank;Automaten;Shopville/Aufgänge;Zürich HB;Sa-So 00:00-00:00;https://www.ubs.com/ch/;;;Ein- und Auszahlungen tätigen Sie an unseren Bancomaten in CHF und Euro. Weitere Bank-Services stehen Ihnen an den UBS Multimaten zur Verfügung.;;POINT(8.538821076050604 47.37755998143906)
https://lod.opentransportdata.swiss/place/8503000/geo-beratung-and-verkauf-6751;http://lod.opentransportdata.swiss/didok/8503000;Beratung & Verkauf;SBB Services;Erdgeschoss;Zürich HB;Sa-So 08:00-19:00;;;;;;POINT(8.540066008594946 47.37826113167658)
https://lod.opentransportdata.swiss/place/8503000/geo-suan-long-china-restaurant-7f66;http://lod.opentransportdata.swiss/didok/8503000;Suan Long;Restaurants / Take-Away;Shopville/Aufgänge;Zürich HB;Mo-So 09:00-22:00;http://suan-long.ch/suanlong/;;+41 43 344 86 86;Lassen Sie sich von unseren asiatischen Gerichten inspirieren – auch perfekt für unterwegs.;;POINT(8.538620945640032 47.37765233776454)
https://lod.opentransportdata.swiss/place/8503000/geo-sora-sushi-7ff0;http://lod.opentransportdata.swiss/didok/8503000;Sora Sushi;Restaurants / Take-Away;Erdgeschoss;Zürich HB;Do-Sa 10:00-23:00;http://www.sora-sushi.ch;info@sora-sushi.ch;+41 44 217 15 10;"Ob am Kaiten oder im überdachten Sora Garden, unser Küchenteam überrascht Sie mit einer kreativen Sushi-Auswahl im stilvollen Ambiente.
Für eilige Gäste steht das Angebot auch zum Take Away zur Verfügung.";;POINT(8.539266410688432 47.377577442141146)
https://lod.opentransportdata.swiss/place/8503000/geo-k-kiosk-3eb0;http://lod.opentransportdata.swiss/didok/8503000;K Kiosk;Kioske / Tabakwaren;Erdgeschoss;Zürich HB;So 05:30-00:00;http://www.kkiosk.ch/;info@kkiosk.ch;+41 44 211 99 30;"Gönn dir was!
k kiosk ist der persönliche Garant für Sofortgenuss in greifbarer Nähe, welcher die kleinen Alltagssünden schnell und unkompliziert mit attraktiven Alltagsfreuden erlebbar macht.";American Express, Euro, Maestro, MasterCard, PostFinance, Visa;POINT(8.540119750444568 47.377637749498845)
https://lod.opentransportdata.swiss/place/8503000/geo-burger-king-0e01;http://lod.opentransportdata.swiss/didok/8503000;Burger King Express;Restaurants / Take-Away;Erdgeschoss;Zürich HB;Mo-Fr 10:30-19:00;;info@candriancatering.ch;+41 44 217 15 15;"Burger King - das Erfolgsrezept aus den USA. Das auf offener Flamme grillierte, saftige Rindfleisch gibt unseren Burgern den unverwechselbaren Geschmack.
Probieren Sie unsere ungeschlagene Nummer 1, den Burger King WHOPPER, wahlweise auch mit Cheese oder Bacon.";;POINT(8.537206189694947 47.37945132058876)
https://lod.opentransportdata.swiss/place/8503000/geo-belmundo-92c9;http://lod.opentransportdata.swiss/didok/8503000;Belmundo;Bücher / Papeterie / Bilder;Untergeschoss;Zürich HB;Mo-Fr 09:00-21:00;https://www.belmundo.ch;;+41 44 212 21 11;Karten für jede Gelegenheit, Bilder und ein Bilderrahmungsservice sowie Geschenkideen finden Sie in der Belmundo Gallery.;;POINT(8.539253130148218 47.37892684449373)
https://lod.opentransportdata.swiss/place/8503000/geo-western-union-9965;http://lod.opentransportdata.swiss/didok/8503000;Western Union;Dienstleistungen;Shopville/Aufgänge;Zürich HB;Sa 07:00-21:00;https://www.westernunion.com/ch;;+41 22 7317662;Die Profis in Sachen Geldtransfer: weltweiter Bargeldtransfer, garantiert innert kürzester Zeit. Internet-Café und die günstigste weltweite Telefonie.;;POINT(8.538525029567435 47.377459786380214)
https://lod.opentransportdata.swiss/place/8503000/geo-pieces-c702;http://lod.opentransportdata.swiss/didok/8503000;Pieces;Bekleidung;Shopville/Aufgänge;Zürich HB;Mo-Fr 09:00-21:00;;;+41 44 221 94 10;Bei PIECES findest du alles, was du für eine komplette und aktuelle Garderobe brauchst, die dein Kopf-bis-Fuß-Look auf ein neues Level hebt. Wir sind sicher, dass du die richtige Kombination finden wirst, so dass du immer etwas hast, das du einfach anziehen kannst, wenn du dich morgens fertig machst. Mit den Styles von PIECES kannst du deinen ganz persönlichen Look ausdrücken - wir haben alles, was du für ein komplettes Outfit brauchst, damit du von morgens bis abends gut aussiehst.;American Express, Euro, Geschenkkarte Bahnhof, Maestro, MasterCard, PostFinance, Twint, Visa;POINT(8.541510107068257 47.3782801603517)
https://lod.opentransportdata.swiss/place/8503000/geo-mister-minit-9df7;http://lod.opentransportdata.swiss/didok/8503000;Mister Minit;Dienstleistungen;Untergeschoss;Zürich HB;So 09:00-20:00;http://www.minitswiss.com/;minit@minitswiss.com;+41 44 212 19 71;Verstecken Sie Ihren Schlüssel nicht unter der Fussmatte. Mister Minit macht Ihnen beliebig viele Zweitschlüssel in verschiedenen Formen und Farben.;;POINT(8.540999877729416 47.37836625883092)
https://lod.opentransportdata.swiss/place/8503000/geo-spettacolino-9dbf;http://lod.opentransportdata.swiss/didok/8503000;Caffè Spettacolo;Restaurants / Take-Away;Untergeschoss;Zürich HB;Mo-Sa 06:00-21:00;https://www.spettacolo.ch/;info@spettacolo.ch;+41 43 322 05 10;Caffé Spettacolo ist der Ort für italienischen Caffè! Seit 1999 setzen wir uns täglich dafür ein, euch den perfekten Caffè zu servieren. Für unseren Caffè verwenden wir ausnahmslos die qualitativ hochwertigsten Fairtrade- und Bio-Kaffeebohnen aus den besten Anbauregionen der Welt.;;POINT(8.53643524218405 47.37860541886431)
https://lod.opentransportdata.swiss/place/8503000/geo-confiserie-spruengli-8477;http://lod.opentransportdata.swiss/didok/8503000;Confiserie Sprüngli;Lebensmittel / Getränke;Erdgeschoss;Zürich HB;Mo-Fr 06:45-21:00;http://www.spruengli.ch/;bestell-service@spruengli.ch;+41 44 211 76 16;Die Spezialitäten der Confiserie Sprüngli wie feinste Truffes und Pralinés oder luftig-leichte Luxemburgerli bringen weltweit Kunden ins Schwärmen.;;POINT(8.540331948176817 47.377514732724926)
https://lod.opentransportdata.swiss/place/8503000/geo-dunkin-donuts-b2c0;http://lod.opentransportdata.swiss/didok/8503000;Dunkin' Donuts;Restaurants / Take-Away;Untergeschoss;Zürich HB;So 09:00-20:00;http://www.dunkindonuts.ch/;info@dunkindonuts.ch;+41 44 542 39 00;Perfekt für den Heisshunger! Bei Dunkin'Donuts finden Sie köstliche Donuts, Munchkins und jede Menge andere Leckereien. Dazu gibt es röstfrischen Arabica - Kaffee, der in Qualität und Geschmack unübertroffen ist.;American Express, Apple Pay, Euro, JCB, Maestro, MasterCard, PostFinance, Visa;POINT(8.539239676023456 47.37780550540177)
https://lod.opentransportdata.swiss/place/8503000/geo-iklinik-8a72;http://lod.opentransportdata.swiss/didok/8503000;iKlinik;Dienstleistungen;Shopville/Aufgänge;Zürich HB;Sa-So 09:00-20:00;https://www.iklinik.ch;info@iklinik.ch;+41 84 018 18 18;Muss Ihr Smartphone in die Notfallaufnahme?  Dann schauen Sie in der iKlinik Shopville am Zürich Hauptbahnhof vorbei. Wir haben 365 Tage im Jahr offen für Sie. Für eine schnelle Reparatur ist Ihr Smartphone bei unseren kompetenten und qualifizierten Technikern in besten Händen.;;POINT(8.538166843576443 47.37773160521455)
